Method 1,Method 2,Method 3,Method 4,Method 5,Method 6
1.9073486328125e-06,9.5367431640625e-07,0.0,1.1920928955078125e-06,0.0,9.5367431640625e-07
1.52587890625e-05,3.0994415283203125e-06,2.86102294921875e-06,9.5367431640625e-07,2.1457672119140625e-06,9.5367431640625e-07
4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06,1.1920928955078125e-06,1.9073486328125e-06,1.1920928955078125e-06
4.0531158447265625e-06,2.1457672119140625e-06,1.9073486328125e-06,1.9073486328125e-06,9.5367431640625e-07,2.1457672119140625e-06
3.0994415283203125e-06,2.86102294921875e-06,1.9073486328125e-06,2.1457672119140625e-06,2.1457672119140625e-06,9.5367431640625e-07
2.6226043701171875e-06,2.1457672119140625e-06,2.1457672119140625e-06,1.9073486328125e-06,2.1457672119140625e-06,1.9073486328125e-06
3.0994415283203125e-06,1.9073486328125e-06,1.6689300537109375e-06,2.1457672119140625e-06,3.0994415283203125e-06,1.9073486328125e-06
2.86102294921875e-06,1.9073486328125e-06,3.0994415283203125e-06,2.86102294921875e-06,3.0994415283203125e-06,2.1457672119140625e-06
3.0994415283203125e-06,1.6689300537109375e-06,2.86102294921875e-06,3.0994415283203125e-06,3.0994415283203125e-06,1.9073486328125e-06
2.1457672119140625e-06,2.1457672119140625e-06,2.86102294921875e-06,3.0994415283203125e-06,2.86102294921875e-06,1.9073486328125e-06
1.9073486328125e-06,2.1457672119140625e-06,3.0994415283203125e-06,2.86102294921875e-06,3.0994415283203125e-06,2.1457672119140625e-06
1.9073486328125e-06,3.0994415283203125e-06,4.0531158447265625e-06,3.814697265625e-06,4.291534423828125e-06,2.86102294921875e-06
1.6689300537109375e-06,1.9073486328125e-06,4.291534423828125e-06,3.814697265625e-06,4.0531158447265625e-06,2.86102294921875e-06
2.1457672119140625e-06,3.0994415283203125e-06,4.76837158203125e-06,4.291534423828125e-06,4.0531158447265625e-06,3.814697265625e-06
2.1457672119140625e-06,3.0994415283203125e-06,4.76837158203125e-06,4.291534423828125e-06,4.76837158203125e-06,4.0531158447265625e-06
2.1457672119140625e-06,3.814697265625e-06,5.245208740234375e-06,4.76837158203125e-06,5.0067901611328125e-06,4.0531158447265625e-06
5.0067901611328125e-06,3.0994415283203125e-06,6.198883056640625e-06,5.0067901611328125e-06,5.9604644775390625e-06,4.291534423828125e-06
4.0531158447265625e-06,4.0531158447265625e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.0067901611328125e-06,4.0531158447265625e-06
3.0994415283203125e-06,4.0531158447265625e-06,6.9141387939453125e-06,5.245208740234375e-06,5.245208740234375e-06,4.76837158203125e-06
2.86102294921875e-06,4.291534423828125e-06,6.9141387939453125e-06,4.76837158203125e-06,5.9604644775390625e-06,5.0067901611328125e-06
4.0531158447265625e-06,3.814697265625e-06,7.152557373046875e-06,5.9604644775390625e-06,7.152557373046875e-06,5.0067901611328125e-06
4.0531158447265625e-06,3.814697265625e-06,7.152557373046875e-06,5.9604644775390625e-06,5.9604644775390625e-06,5.245208740234375e-06
3.814697265625e-06,4.0531158447265625e-06,8.106231689453125e-06,5.9604644775390625e-06,6.9141387939453125e-06,5.0067901611328125e-06
2.86102294921875e-06,4.291534423828125e-06,7.867813110351562e-06,5.9604644775390625e-06,7.152557373046875e-06,6.198883056640625e-06
3.0994415283203125e-06,3.814697265625e-06,7.867813110351562e-06,7.152557373046875e-06,6.9141387939453125e-06,6.9141387939453125e-06
3.0994415283203125e-06,5.245208740234375e-06,8.821487426757812e-06,6.9141387939453125e-06,7.867813110351562e-06,7.152557373046875e-06
2.86102294921875e-06,5.0067901611328125e-06,9.059906005859375e-06,7.867813110351562e-06,7.867813110351562e-06,7.152557373046875e-06
2.6226043701171875e-06,5.245208740234375e-06,1.0013580322265625e-05,7.867813110351562e-06,8.106231689453125e-06,6.9141387939453125e-06
1.6689300537109375e-06,6.198883056640625e-06,9.059906005859375e-06,8.821487426757812e-06,8.106231689453125e-06,8.106231689453125e-06
2.86102294921875e-06,5.245208740234375e-06,9.775161743164062e-06,8.106231689453125e-06,8.821487426757812e-06,8.344650268554688e-06
3.0994415283203125e-06,5.0067901611328125e-06,1.0013580322265625e-05,9.059906005859375e-06,8.821487426757812e-06,8.106231689453125e-06
4.0531158447265625e-06,4.76837158203125e-06,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,8.106231689453125e-06
3.814697265625e-06,5.245208740234375e-06,1.0967254638671875e-05,8.821487426757812e-06,8.821487426757812e-06,8.106231689453125e-06
3.814697265625e-06,6.198883056640625e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0013580322265625e-05,9.059906005859375e-06
4.0531158447265625e-06,5.9604644775390625e-06,1.0967254638671875e-05,1.0013580322265625e-05,1.0967254638671875e-05,9.059906005859375e-06
5.0067901611328125e-06,5.9604644775390625e-06,1.2159347534179688e-05,1.0013580322265625e-05,1.0967254638671875e-05,9.059906005859375e-06
4.0531158447265625e-06,5.9604644775390625e-06,1.1920928955078125e-05,1.0013580322265625e-05,1.1205673217773438e-05,8.821487426757812e-06
3.814697265625e-06,6.198883056640625e-06,1.1920928955078125e-05,1.0013580322265625e-05,1.1920928955078125e-05,9.298324584960938e-06
4.0531158447265625e-06,5.9604644775390625e-06,1.3113021850585938e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.0013580322265625e-05
4.291534423828125e-06,5.7220458984375e-06,1.1920928955078125e-05,1.0013580322265625e-05,1.0967254638671875e-05,1.0013580322265625e-05
3.814697265625e-06,6.198883056640625e-06,1.3828277587890625e-05,1.0967254638671875e-05,1.2159347534179688e-05,1.0013580322265625e-05
4.0531158447265625e-06,6.9141387939453125e-06,1.3113021850585938e-05,1.1205673217773438e-05,1.2636184692382812e-05,1.0251998901367188e-05
3.0994415283203125e-06,6.9141387939453125e-06,1.4066696166992188e-05,1.0967254638671875e-05,1.3113021850585938e-05,1.0967254638671875e-05
2.6226043701171875e-06,7.3909759521484375e-06,1.4781951904296875e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.0967254638671875e-05
2.86102294921875e-06,7.152557373046875e-06,1.3828277587890625e-05,1.3113021850585938e-05,1.2874603271484375e-05,1.1205673217773438e-05
2.86102294921875e-06,7.152557373046875e-06,1.3828277587890625e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.0967254638671875e-05
4.76837158203125e-06,8.106231689453125e-06,1.5020370483398438e-05,1.2159347534179688e-05,1.2874603271484375e-05,1.2159347534179688e-05
5.0067901611328125e-06,6.9141387939453125e-06,1.5735626220703125e-05,1.3113021850585938e-05,1.4066696166992188e-05,1.2159347534179688e-05
5.9604644775390625e-06,6.9141387939453125e-06,1.5974044799804688e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.2159347534179688e-05
5.0067901611328125e-06,8.106231689453125e-06,1.6927719116210938e-05,1.3113021850585938e-05,1.4781951904296875e-05,1.3113021850585938e-05
5.245208740234375e-06,7.867813110351562e-06,1.5974044799804688e-05,1.4066696166992188e-05,1.5020370483398438e-05,1.2874603271484375e-05
4.291534423828125e-06,7.867813110351562e-06,1.6927719116210938e-05,1.4066696166992188e-05,1.52587890625e-05,1.2636184692382812e-05
5.0067901611328125e-06,9.059906005859375e-06,1.6927719116210938e-05,1.4066696166992188e-05,1.5974044799804688e-05,1.2874603271484375e-05
4.0531158447265625e-06,7.867813110351562e-06,1.811981201171875e-05,1.5020370483398438e-05,1.7881393432617188e-05,1.3113021850585938e-05
4.76837158203125e-06,7.867813110351562e-06,1.8358230590820312e-05,1.4781951904296875e-05,1.621246337890625e-05,1.4066696166992188e-05
4.0531158447265625e-06,9.059906005859375e-06,1.7881393432617188e-05,1.621246337890625e-05,1.5735626220703125e-05,1.4066696166992188e-05
4.0531158447265625e-06,9.059906005859375e-06,1.8835067749023438e-05,1.52587890625e-05,1.6689300537109375e-05,1.4066696166992188e-05
4.0531158447265625e-06,8.106231689453125e-06,1.8835067749023438e-05,1.621246337890625e-05,1.6927719116210938e-05,1.5020370483398438e-05
3.814697265625e-06,9.059906005859375e-06,1.9073486328125e-05,1.5735626220703125e-05,1.71661376953125e-05,1.4781951904296875e-05
5.245208740234375e-06,8.821487426757812e-06,1.9073486328125e-05,1.6927719116210938e-05,1.71661376953125e-05,1.4781951904296875e-05
4.291534423828125e-06,8.821487426757812e-06,2.002716064453125e-05,1.6927719116210938e-05,1.71661376953125e-05,1.4781951904296875e-05
6.198883056640625e-06,9.059906005859375e-06,1.9788742065429688e-05,1.6927719116210938e-05,1.9073486328125e-05,1.5020370483398438e-05
5.9604644775390625e-06,8.821487426757812e-06,2.002716064453125e-05,1.71661376953125e-05,1.811981201171875e-05,1.5735626220703125e-05
6.198883056640625e-06,9.775161743164062e-06,2.09808349609375e-05,1.6927719116210938e-05,1.7881393432617188e-05,1.5974044799804688e-05
5.9604644775390625e-06,1.0013580322265625e-05,2.09808349609375e-05,1.811981201171875e-05,1.9073486328125e-05,1.5735626220703125e-05
